time="2018-07-24T14:21:54+05:30" level=info msg="Using In cluster config."
time="2018-07-24T14:21:54+05:30" level=info msg="unable to load in-cluster configuration, KUBERNETES_SERVICE_HOST and KUBERNETES_SERVICE_PORT must be defined"
time="2018-07-25T15:57:39+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Uploading data"
time="2018-07-25T15:57:42+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:58:37+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:58:37+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:58:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:58:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:58:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:06+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:59:06+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:06+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:59:45+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:45+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:55+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:55+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-cgs-0/cgs-service-66f9784f6f-jd7nw"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: ssinghvi-lemans-postgres/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-self-service-deployment-kops-72/symphony-ui-77bf44b76d-c6hbb"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: istio-system/istio-policy-67d8fd749f-jc2gx"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: ssinghvi-lemans-postgres/lemans-gateway-b97d45899-j7vss"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/event-broker-promoted-dev-86759f5457-ln8gl"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/tapestry-service-643-696d749595-ftlsv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-upgrade-dev-310/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-wnqkc"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: istio-system/istio-grafana-post-install-bzcp7"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-tcssh"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jaeger/jaeger-agent-7l928"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-9qnv2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-sszzg"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-cgs-0/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: buma/heimdall-data-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: blue-demo/symphony-2749-5d964b4bf4-hkd2q"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/symphony-2757-759b4987f4-ktfj4"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-t6sv4"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-proxy-sym-new-dev-3-wf-monitoring-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/tango-vro-gateway-promoted-dev-64b95bbbcd-xzglp"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: blue-demo/lemans-resources-465-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-upgrade-dev-310/provisioning-service-promoted-dev-5f565f57fc-2qmw5"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/automation-service-deployment-141-b47d894bd-vhhqx"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jaeger/jaeger-agent-bg7sv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/sym-inventory-service-190-56f848d8cd-v8kgr"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/deployment-ui-64c5f9548f-78k28"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/etcd-server-events-ip-172-20-51-236.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/symphony-ui-7c745c9f44-56ktj"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-inventory-it/event-broker-promoted-dev-5f6d4df584-fxwff"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-7z6d2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: pyarlagadda-dev/cerebro-63-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kmcdonough/sym-inventory-service-190-786b4659d-6jk79"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-hl7bh"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/provisioning-ui-b68b594d9-p5jtc"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-dns-756bfc7fdf-dgkgp"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/symphony-2749-5964764946-6dh5f"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-9j46m"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-9vg7r"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: sirao-test/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/automation-service-deployment-141-5978b6bfb4-6z74f"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-51-236.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/symphony-2757-598d999b85-ssk5l"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-upgrade-dev-310/abx-service-promoted-dev-57f74d8c8c-77hxg"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/cerebro-63-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-58-107.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-59cp4"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/cerebro-63-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-proxy-sym-new-dev-3-wf-monitoring-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: apundlik/ops-zk-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-cgs-0/cgs-service-66f9784f6f-z2l5f"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-nmxnn"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-37-37.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/sym-inventory-service-190-57676cc7b-dv5vh"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-35-79.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/vrbc-benchmark-store-deployment-1-1-430-8447cb8f95-tmkp8"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: blue-demo/lemans-resources-465-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/symphony-2749-c4f796b9c-p89ww"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-25-hstancheva/cerebro-63-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/provisioning-service-promoted-dev-7c945f75f8-s8s6t"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: apundlik/kafka-manager-cccd778df-6pnxx"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: strivedi-test-1/curlpod-pdeoor"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/cerebro-63-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-scheduler-ip-172-20-33-216.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/heimdall-7868fc4f84-w87lp"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/tapestry-service-643-5cd959f754-njqg2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/heimdall-data-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/symphony-ui-8567468444-ss5sp"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: shij-test3/heimdall-data-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/postgres-latest-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/symphony-ui-5cd86b6d9d-dfzj9"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: diploma/vault-6c596854cc-87x8b"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: diploma/vault-6c596854cc-7lnwx"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-r7hw6"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/tapestry-service-junweili-c84857bb-kwvs6"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/event-broker-promoted-dev-96ff886c4-n7xqn"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-inventory-it/extensibility-ui-86599f455d-phpfb"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jaeger/jaeger-agent-8vfx7"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/provisioning-service-promoted-dev-86f5cf44df-lcf9s"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jaeger/jaeger-agent-6nj2f"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/deployment-ui-6f6d4bd899-8rmrm"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: pipelineui/pipeline-ui-58979bdfcc-4z9v4"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-cgs-0/heimdall-data-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: buma/heimdall-77854896d-hp6k5"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/provisioning-service-promoted-dev-9f8785b5b-j2mnm"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-self-service-deployment-kops-72/symphony-2749-59fb949bd6-5fqnq"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: blue-demo/tango-backend-receiver-bdeacfc06602cd2d23d3041fe6651e84ce8m29xv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-controller-manager-ip-172-20-51-236.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: default/syndicate-84f7cb98b7-57xj6"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/consumer-service-463-79d7cd886d-6ng68"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/sym-inventory-service-190-54c9f59f96-k4njv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: strivedi-test-1/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/provisioning-ui-f65986974-mqjzr"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/provisioning-ui-6cd8b7cf4-h8jkv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-upgrade-dev-310/curlpod-1g580k"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-cgs-0/heimdall-data-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-9h28h"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-25-hstancheva/automation-ui-577cbf9fdc-glcl7"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-29-tgeorgiev/cerebro-68-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/ops-kafka-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-40-74.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-46-128.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/extensibility-ui-5677847c4d-9zbw7"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: diploma/webservice-68c5898699-rq5w2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: istio-system/istio-galley-67c97d7748-2crlt"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/cerebro-63-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/cerebro-63-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kmcdonough/consumer-service-463-7668b5d796-gbgj8"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kmcdonough/provisioning-service-promoted-dev-77ff47d8b7-zhwlr"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-38-26.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/cerebro-68-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: sirao-test/symphony-2749-85d858ddcf-vr8ld"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-lc59v"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: apundlik/ops-kafka-cmd-6c8dd68bd6-8xrkl"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/cerebro-68-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: diploma/diploma-tester-c95969549-zvc58"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-inventory-it/cerebro-63-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/event-broker-promoted-dev-96ff886c4-gcxzk"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-31-akambivelu/heimdall-data-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-7xb9r"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: cerebro-discovery/heimdall-data-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-5hvqz"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/symphony-2757-67bb9dbbdf-qn55t"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-upgrade-dev-310/automation-service-deployment-141-6bb4c6dffc-q4h65"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-lvfxt"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: wf-monitoring/wf-telegraf-daemonset-wzkgz"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-self-service-deployment-kops-72/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: pyarlagadda-dev/consumer-service-463-79b9f6b6d-l4qlz"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/heimdall-8588c678fc-gpnkg"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-hxnfw"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: sirao-test/vrbc-ui-75d8478496-bdzzv"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/provisioning-ui-7fb9c7d9d6-4hdzb"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: sirao-test/sym-inventory-service-190-5c4cfd4947-lxpbw"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-zhzlr"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: issue-detector/docker-issue-detector-5bh5l"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-abx-service-aws-deploy-new-dev-320/cerebro-70-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/csp-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-self-service-deployment-kops-72/heimdall-data-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/symphony-ui-6d6d676f9c-hfc85"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/symphony-ui-8b4b765db-4l627"
